StateID,TemporalPropertyID,BinID,BinLow,BinHigh,Method,BinLabel,TemporalPropertyName
1,1,0,-90,-10,gradient,Decresing,
2,1,1,-10,10,gradient,Stable,
3,1,2,10,90,gradient,Increasing,
4,47,0,-90,-10,gradient,Decresing,
5,47,1,-10,10,gradient,Stable,
6,47,2,10,90,gradient,Increasing,
7,48,0,-90,-10,gradient,Decresing,
8,48,1,-10,10,gradient,Stable,
9,48,2,10,90,gradient,Increasing,
10,49,0,-90,-10,gradient,Decresing,
11,49,1,-10,10,gradient,Stable,
12,49,2,10,90,gradient,Increasing,
13,50,0,-90,-10,gradient,Decresing,
14,50,1,-10,10,gradient,Stable,
15,50,2,10,90,gradient,Increasing,
16,51,0,-90,-10,gradient,Decresing,
17,51,1,-10,10,gradient,Stable,
18,51,2,10,90,gradient,Increasing,
19,52,0,-90,-10,gradient,Decresing,
20,52,1,-10,10,gradient,Stable,
21,52,2,10,90,gradient,Increasing,
22,53,0,-90,-10,gradient,Decresing,
23,53,1,-10,10,gradient,Stable,
24,53,2,10,90,gradient,Increasing,
25,54,0,-90,-10,gradient,Decresing,
26,54,1,-10,10,gradient,Stable,
27,54,2,10,90,gradient,Increasing,
28,55,0,-90,-10,gradient,Decresing,
29,55,1,-10,10,gradient,Stable,
30,55,2,10,90,gradient,Increasing,
31,56,0,-90,-10,gradient,Decresing,
32,56,1,-10,10,gradient,Stable,
33,56,2,10,90,gradient,Increasing,
34,57,0,-90,-10,gradient,Decresing,
35,57,1,-10,10,gradient,Stable,
36,57,2,10,90,gradient,Increasing,
37,58,0,-90,-10,gradient,Decresing,
38,58,1,-10,10,gradient,Stable,
39,58,2,10,90,gradient,Increasing,
40,59,0,-90,-10,gradient,Decresing,
41,59,1,-10,10,gradient,Stable,
42,59,2,10,90,gradient,Increasing,
43,60,0,-90,-10,gradient,Decresing,
44,60,1,-10,10,gradient,Stable,
45,60,2,10,90,gradient,Increasing,
46,61,0,-90,-10,gradient,Decresing,
47,61,1,-10,10,gradient,Stable,
48,61,2,10,90,gradient,Increasing,
49,62,0,-90,-10,gradient,Decresing,
50,62,1,-10,10,gradient,Stable,
51,62,2,10,90,gradient,Increasing,
52,63,0,-90,-10,gradient,Decresing,
53,63,1,-10,10,gradient,Stable,
54,63,2,10,90,gradient,Increasing,
55,64,0,-90,-10,gradient,Decresing,
56,64,1,-10,10,gradient,Stable,
57,64,2,10,90,gradient,Increasing,
58,65,0,-90,-10,gradient,Decresing,
59,65,1,-10,10,gradient,Stable,
60,65,2,10,90,gradient,Increasing,
61,66,0,-90,-10,gradient,Decresing,
62,66,1,-10,10,gradient,Stable,
63,66,2,10,90,gradient,Increasing,
64,67,0,-90,-10,gradient,Decresing,
65,67,1,-10,10,gradient,Stable,
66,67,2,10,90,gradient,Increasing,
67,68,0,-90,-10,gradient,Decresing,
68,68,1,-10,10,gradient,Stable,
69,68,2,10,90,gradient,Increasing,
70,69,0,-90,-10,gradient,Decresing,
71,69,1,-10,10,gradient,Stable,
72,69,2,10,90,gradient,Increasing,
73,70,0,-90,-10,gradient,Decresing,
74,70,1,-10,10,gradient,Stable,
75,70,2,10,90,gradient,Increasing,
76,71,0,-90,-10,gradient,Decresing,
77,71,1,-10,10,gradient,Stable,
78,71,2,10,90,gradient,Increasing,
79,72,0,-90,-10,gradient,Decresing,
80,72,1,-10,10,gradient,Stable,
81,72,2,10,90,gradient,Increasing,
82,73,0,-90,-10,gradient,Decresing,
83,73,1,-10,10,gradient,Stable,
84,73,2,10,90,gradient,Increasing,
85,74,0,-90,-10,gradient,Decresing,
86,74,1,-10,10,gradient,Stable,
87,74,2,10,90,gradient,Increasing,
88,75,0,-90,-10,gradient,Decresing,
89,75,1,-10,10,gradient,Stable,
90,75,2,10,90,gradient,Increasing,
91,76,0,-90,-10,gradient,Decresing,
92,76,1,-10,10,gradient,Stable,
93,76,2,10,90,gradient,Increasing,
94,77,0,-90,-10,gradient,Decresing,
95,77,1,-10,10,gradient,Stable,
96,77,2,10,90,gradient,Increasing,
97,78,0,-1,1,???,Event,Fall
