StateID,TemporalPropertyID,Method,BinID,BinLow,BinHigh
1,1,gradient,0,-90,-10
2,1,gradient,1,-10,10
3,1,gradient,2,10,90
4,2,gradient,0,-90,-10
5,2,gradient,1,-10,10
6,2,gradient,2,10,90
7,3,gradient,0,-90,-10
8,3,gradient,1,-10,10
9,3,gradient,2,10,90
10,4,gradient,0,-90,-10
11,4,gradient,1,-10,10
12,4,gradient,2,10,90
13,5,gradient,0,-90,-10
14,5,gradient,1,-10,10
15,5,gradient,2,10,90
16,6,gradient,0,-90,-10
17,6,gradient,1,-10,10
18,6,gradient,2,10,90
19,7,gradient,0,-90,-10
20,7,gradient,1,-10,10
21,7,gradient,2,10,90
22,8,gradient,0,-90,-10
23,8,gradient,1,-10,10
24,8,gradient,2,10,90
25,9,gradient,0,-90,-10
26,9,gradient,1,-10,10
27,9,gradient,2,10,90
28,10,gradient,0,-90,-10
29,10,gradient,1,-10,10
30,10,gradient,2,10,90
31,11,gradient,0,-90,-10
32,11,gradient,1,-10,10
33,11,gradient,2,10,90
34,12,gradient,0,-90,-10
35,12,gradient,1,-10,10
36,12,gradient,2,10,90
37,13,gradient,0,-90,-10
38,13,gradient,1,-10,10
39,13,gradient,2,10,90
40,14,gradient,0,-90,-10
41,14,gradient,1,-10,10
42,14,gradient,2,10,90
43,15,gradient,0,-90,-10
44,15,gradient,1,-10,10
45,15,gradient,2,10,90
46,16,gradient,0,-90,-10
47,16,gradient,1,-10,10
48,16,gradient,2,10,90
49,17,gradient,0,-90,-10
50,17,gradient,1,-10,10
51,17,gradient,2,10,90
52,18,gradient,0,-90,-10
53,18,gradient,1,-10,10
54,18,gradient,2,10,90
55,19,gradient,0,-90,-10
56,19,gradient,1,-10,10
57,19,gradient,2,10,90
58,20,gradient,0,-90,-10
59,20,gradient,1,-10,10
60,20,gradient,2,10,90
61,21,gradient,0,-90,-10
62,21,gradient,1,-10,10
63,21,gradient,2,10,90
64,22,gradient,0,-90,-10
65,22,gradient,1,-10,10
66,22,gradient,2,10,90
67,23,gradient,0,-90,-10
68,23,gradient,1,-10,10
69,23,gradient,2,10,90
70,24,gradient,0,-90,-10
71,24,gradient,1,-10,10
72,24,gradient,2,10,90
73,25,gradient,0,-90,-10
74,25,gradient,1,-10,10
75,25,gradient,2,10,90
76,26,gradient,0,-90,-10
77,26,gradient,1,-10,10
78,26,gradient,2,10,90
79,27,gradient,0,-90,-10
80,27,gradient,1,-10,10
81,27,gradient,2,10,90
82,28,gradient,0,-90,-10
83,28,gradient,1,-10,10
84,28,gradient,2,10,90
85,29,gradient,0,-90,-10
86,29,gradient,1,-10,10
87,29,gradient,2,10,90
88,30,gradient,0,-90,-10
89,30,gradient,1,-10,10
90,30,gradient,2,10,90
91,31,gradient,0,-90,-10
92,31,gradient,1,-10,10
93,31,gradient,2,10,90
94,32,gradient,0,-90,-10
95,32,gradient,1,-10,10
96,32,gradient,2,10,90
97,33,gradient,0,-90,-10
98,33,gradient,1,-10,10
99,33,gradient,2,10,90
100,34,gradient,0,-90,-10
101,34,gradient,1,-10,10
102,34,gradient,2,10,90
103,35,gradient,0,-90,-10
104,35,gradient,1,-10,10
105,35,gradient,2,10,90
106,36,gradient,0,-90,-10
107,36,gradient,1,-10,10
108,36,gradient,2,10,90
109,37,gradient,0,-90,-10
110,37,gradient,1,-10,10
111,37,gradient,2,10,90
112,38,gradient,0,-90,-10
113,38,gradient,1,-10,10
114,38,gradient,2,10,90
115,39,gradient,0,-90,-10
116,39,gradient,1,-10,10
117,39,gradient,2,10,90
118,40,gradient,0,-90,-10
119,40,gradient,1,-10,10
120,40,gradient,2,10,90
121,41,gradient,0,-90,-10
122,41,gradient,1,-10,10
123,41,gradient,2,10,90
124,42,gradient,0,-90,-10
125,42,gradient,1,-10,10
126,42,gradient,2,10,90
127,43,gradient,0,-90,-10
128,43,gradient,1,-10,10
129,43,gradient,2,10,90
130,44,gradient,0,-90,-10
131,44,gradient,1,-10,10
132,44,gradient,2,10,90
133,45,gradient,0,-90,-10
134,45,gradient,1,-10,10
135,45,gradient,2,10,90
136,46,gradient,0,-90,-10
137,46,gradient,1,-10,10
138,46,gradient,2,10,90
139,47,gradient,0,-90,-10
140,47,gradient,1,-10,10
141,47,gradient,2,10,90
142,48,gradient,0,-90,-10
143,48,gradient,1,-10,10
144,48,gradient,2,10,90
145,49,gradient,0,-90,-10
146,49,gradient,1,-10,10
147,49,gradient,2,10,90
148,50,gradient,0,-90,-10
149,50,gradient,1,-10,10
150,50,gradient,2,10,90
151,51,gradient,0,-90,-10
152,51,gradient,1,-10,10
153,51,gradient,2,10,90
154,52,gradient,0,-90,-10
155,52,gradient,1,-10,10
156,52,gradient,2,10,90
157,53,gradient,0,-90,-10
158,53,gradient,1,-10,10
159,53,gradient,2,10,90
160,54,gradient,0,-90,-10
161,54,gradient,1,-10,10
162,54,gradient,2,10,90
163,55,gradient,0,-90,-10
164,55,gradient,1,-10,10
165,55,gradient,2,10,90
166,56,gradient,0,-90,-10
167,56,gradient,1,-10,10
168,56,gradient,2,10,90
169,57,gradient,0,-90,-10
170,57,gradient,1,-10,10
171,57,gradient,2,10,90
172,58,gradient,0,-90,-10
173,58,gradient,1,-10,10
174,58,gradient,2,10,90
175,59,gradient,0,-90,-10
176,59,gradient,1,-10,10
177,59,gradient,2,10,90
178,60,gradient,0,-90,-10
179,60,gradient,1,-10,10
180,60,gradient,2,10,90
181,61,gradient,0,-90,-10
182,61,gradient,1,-10,10
183,61,gradient,2,10,90
184,62,gradient,0,-90,-10
185,62,gradient,1,-10,10
186,62,gradient,2,10,90
187,63,gradient,0,-90,-10
188,63,gradient,1,-10,10
189,63,gradient,2,10,90
190,64,gradient,0,-90,-10
191,64,gradient,1,-10,10
192,64,gradient,2,10,90
193,65,gradient,0,-90,-10
194,65,gradient,1,-10,10
195,65,gradient,2,10,90
196,66,gradient,0,-90,-10
197,66,gradient,1,-10,10
198,66,gradient,2,10,90
199,67,gradient,0,-90,-10
200,67,gradient,1,-10,10
201,67,gradient,2,10,90
202,68,gradient,0,-90,-10
203,68,gradient,1,-10,10
204,68,gradient,2,10,90
205,69,gradient,0,-90,-10
206,69,gradient,1,-10,10
207,69,gradient,2,10,90
208,70,gradient,0,-90,-10
209,70,gradient,1,-10,10
210,70,gradient,2,10,90
211,71,gradient,0,-90,-10
212,71,gradient,1,-10,10
213,71,gradient,2,10,90
214,72,gradient,0,-90,-10
215,72,gradient,1,-10,10
216,72,gradient,2,10,90
217,73,gradient,0,-90,-10
218,73,gradient,1,-10,10
219,73,gradient,2,10,90
220,74,gradient,0,-90,-10
221,74,gradient,1,-10,10
222,74,gradient,2,10,90
223,75,gradient,0,-90,-10
224,75,gradient,1,-10,10
225,75,gradient,2,10,90
226,76,gradient,0,-90,-10
227,76,gradient,1,-10,10
228,76,gradient,2,10,90
229,77,gradient,0,-90,-10
230,77,gradient,1,-10,10
231,77,gradient,2,10,90
232,78,gradient,0,-90,-10
233,78,gradient,1,-10,10
234,78,gradient,2,10,90
235,79,gradient,0,-90,-10
236,79,gradient,1,-10,10
237,79,gradient,2,10,90
238,80,gradient,0,-90,-10
239,80,gradient,1,-10,10
240,80,gradient,2,10,90
241,81,gradient,0,-90,-10
242,81,gradient,1,-10,10
243,81,gradient,2,10,90
244,82,gradient,0,-90,-10
245,82,gradient,1,-10,10
246,82,gradient,2,10,90
